patch_id,source_stem,class_id,class_name,class_group,patch_image_path,patch_mask_path,area_pixels,area_ratio,quality_score
0_c88_comp1,0,88,snow peas,tail,0_c88_comp1_img.png,0_c88_comp1_mask.png,29097,0.147995,0.147995
14_c39_comp1,14,39,garlic,tail,14_c39_comp1_img.png,14_c39_comp1_mask.png,9381,0.00164,0.00164
14_c39_comp2,14,39,garlic,tail,14_c39_comp2_img.png,14_c39_comp2_mask.png,10637,0.001859,0.001859
18_c85_comp1,18,85,shellfish,tail,18_c85_comp1_img.png,18_c85_comp1_mask.png,68206,0.345116,0.345116
20_c76_comp1,20,76,pumpkin,tail,20_c76_comp1_img.png,20_c76_comp1_mask.png,7449,0.083341,0.083341
33_c77_comp1,33,77,rape,tail,33_c77_comp1_img.png,33_c77_comp1_mask.png,11023,0.086117,0.086117
38_c55_comp1,38,55,milk,tail,38_c55_comp1_img.png,38_c55_comp1_mask.png,788732,0.55272,0.55272
44_c49_comp1,44,49,kiwi,tail,44_c49_comp1_img.png,44_c49_comp1_mask.png,43491,0.057988,0.057988
52_c71_comp1,52,71,pizza,tail,52_c71_comp1_img.png,52_c71_comp1_mask.png,42460,0.215963,0.215963
52_c71_comp2,52,71,pizza,tail,52_c71_comp2_img.png,52_c71_comp2_mask.png,18127,0.092199,0.092199
58_c4_comp1,58,4,avocado,tail,58_c4_comp1_img.png,58_c4_comp1_mask.png,18049,0.125062,0.125062
58_c4_comp2,58,4,avocado,tail,58_c4_comp2_img.png,58_c4_comp2_mask.png,21724,0.150527,0.150527
58_c4_comp3,58,4,avocado,tail,58_c4_comp3_img.png,58_c4_comp3_mask.png,7548,0.0523,0.0523
60_c4_comp1,60,4,avocado,tail,60_c4_comp1_img.png,60_c4_comp1_mask.png,6320,0.028376,0.028376
64_c44_comp1,64,44,hanamaki baozi,tail,64_c44_comp1_img.png,64_c44_comp1_mask.png,925720,0.184476,0.184476
75_c22_comp1,75,22,chocolate,tail,75_c22_comp1_img.png,75_c22_comp1_mask.png,8254,0.041982,0.041982
78_c81_comp1,78,81,salad,tail,78_c81_comp1_img.png,78_c81_comp1_mask.png,75232,0.38265,0.38265
84_c4_comp1,84,4,avocado,tail,84_c4_comp1_img.png,84_c4_comp1_mask.png,15831,0.085889,0.085889
85_c39_comp1,85,39,garlic,tail,85_c39_comp1_img.png,85_c39_comp1_mask.png,3672,0.001326,0.001326
85_c63_comp1,85,63,oyster mushroom,extreme_tail,85_c63_comp1_img.png,85_c63_comp1_mask.png,87114,0.031462,0.031462
85_c77_comp1,85,77,rape,tail,85_c77_comp1_img.png,85_c77_comp1_mask.png,125431,0.0453,0.0453
87_c70_comp1,87,70,pineapple,tail,87_c70_comp1_img.png,87_c70_comp1_mask.png,6742,0.024536,0.024536
87_c70_comp2,87,70,pineapple,tail,87_c70_comp2_img.png,87_c70_comp2_mask.png,4382,0.015948,0.015948
