aug_id,base_stem,base_image_path,base_mask_path,aug_type,source_patch_id,source_class_id,target_x,target_y,output_image_path,output_mask_path
0_rare_crop_00,0,00000000.jpg,00000000.png,rare_crop,,,,,0_rare_crop_00.png,0_rare_crop_00.png
0_rare_crop_01,0,00000000.jpg,00000000.png,rare_crop,,,,,0_rare_crop_01.png,0_rare_crop_01.png
0_rare_crop_02,0,00000000.jpg,00000000.png,rare_crop,,,,,0_rare_crop_02.png,0_rare_crop_02.png
1_light_color_00,1,00000001.jpg,00000001.png,light_color,,,,,1_light_color_00.png,1_light_color_00.png
4_light_color_00,4,00000004.jpg,00000004.png,light_color,,,,,4_light_color_00.png,4_light_color_00.png
8_light_color_00,8,00000008.jpg,00000008.png,light_color,,,,,8_light_color_00.png,8_light_color_00.png
9_light_color_00,9,00000009.jpg,00000009.png,light_color,,,,,9_light_color_00.png,9_light_color_00.png
14_rare_crop_00,14,00000014.jpg,00000014.png,rare_crop,,,,,14_rare_crop_00.png,14_rare_crop_00.png
14_rare_crop_01,14,00000014.jpg,00000014.png,rare_crop,,,,,14_rare_crop_01.png,14_rare_crop_01.png
14_rare_crop_02,14,00000014.jpg,00000014.png,rare_crop,,,,,14_rare_crop_02.png,14_rare_crop_02.png
15_light_color_00,15,00000015.jpg,00000015.png,light_color,,,,,15_light_color_00.png,15_light_color_00.png
17_light_color_00,17,00000017.jpg,00000017.png,light_color,,,,,17_light_color_00.png,17_light_color_00.png
18_rare_crop_00,18,00000018.jpg,00000018.png,rare_crop,,,,,18_rare_crop_00.png,18_rare_crop_00.png
18_rare_crop_01,18,00000018.jpg,00000018.png,rare_crop,,,,,18_rare_crop_01.png,18_rare_crop_01.png
18_rare_crop_02,18,00000018.jpg,00000018.png,rare_crop,,,,,18_rare_crop_02.png,18_rare_crop_02.png
19_hard_crop_00,19,00000019.jpg,00000019.png,hard_crop,,,,,19_hard_crop_00.png,19_hard_crop_00.png
19_hard_crop_01,19,00000019.jpg,00000019.png,hard_crop,,,,,19_hard_crop_01.png,19_hard_crop_01.png
20_rare_crop_00,20,00000020.jpg,00000020.png,rare_crop,,,,,20_rare_crop_00.png,20_rare_crop_00.png
20_rare_crop_01,20,00000020.jpg,00000020.png,rare_crop,,,,,20_rare_crop_01.png,20_rare_crop_01.png
20_rare_crop_02,20,00000020.jpg,00000020.png,rare_crop,,,,,20_rare_crop_02.png,20_rare_crop_02.png
22_light_color_00,22,00000022.jpg,00000022.png,light_color,,,,,22_light_color_00.png,22_light_color_00.png
24_light_color_00,24,00000024.jpg,00000024.png,light_color,,,,,24_light_color_00.png,24_light_color_00.png
25_light_color_00,25,00000025.jpg,00000025.png,light_color,,,,,25_light_color_00.png,25_light_color_00.png
29_light_color_00,29,00000029.jpg,00000029.png,light_color,,,,,29_light_color_00.png,29_light_color_00.png
30_light_color_00,30,00000030.jpg,00000030.png,light_color,,,,,30_light_color_00.png,30_light_color_00.png
32_light_color_00,32,00000032.jpg,00000032.png,light_color,,,,,32_light_color_00.png,32_light_color_00.png
33_rare_crop_00,33,00000033.jpg,00000033.png,rare_crop,,,,,33_rare_crop_00.png,33_rare_crop_00.png
33_rare_crop_01,33,00000033.jpg,00000033.png,rare_crop,,,,,33_rare_crop_01.png,33_rare_crop_01.png
33_rare_crop_02,33,00000033.jpg,00000033.png,rare_crop,,,,,33_rare_crop_02.png,33_rare_crop_02.png
34_light_color_00,34,00000034.jpg,00000034.png,light_color,,,,,34_light_color_00.png,34_light_color_00.png
35_hard_crop_00,35,00000035.jpg,00000035.png,hard_crop,,,,,35_hard_crop_00.png,35_hard_crop_00.png
35_hard_crop_01,35,00000035.jpg,00000035.png,hard_crop,,,,,35_hard_crop_01.png,35_hard_crop_01.png
38_rare_crop_00,38,00000038.jpg,00000038.png,rare_crop,,,,,38_rare_crop_00.png,38_rare_crop_00.png
38_rare_crop_01,38,00000038.jpg,00000038.png,rare_crop,,,,,38_rare_crop_01.png,38_rare_crop_01.png
38_rare_crop_02,38,00000038.jpg,00000038.png,rare_crop,,,,,38_rare_crop_02.png,38_rare_crop_02.png
40_light_color_00,40,00000040.jpg,00000040.png,light_color,,,,,40_light_color_00.png,40_light_color_00.png
41_light_color_00,41,00000041.jpg,00000041.png,light_color,,,,,41_light_color_00.png,41_light_color_00.png
44_rare_crop_00,44,00000044.jpg,00000044.png,rare_crop,,,,,44_rare_crop_00.png,44_rare_crop_00.png
44_rare_crop_01,44,00000044.jpg,00000044.png,rare_crop,,,,,44_rare_crop_01.png,44_rare_crop_01.png
44_rare_crop_02,44,00000044.jpg,00000044.png,rare_crop,,,,,44_rare_crop_02.png,44_rare_crop_02.png
45_hard_crop_00,45,00000045.jpg,00000045.png,hard_crop,,,,,45_hard_crop_00.png,45_hard_crop_00.png
45_hard_crop_01,45,00000045.jpg,00000045.png,hard_crop,,,,,45_hard_crop_01.png,45_hard_crop_01.png
46_light_color_00,46,00000046.jpg,00000046.png,light_color,,,,,46_light_color_00.png,46_light_color_00.png
47_light_color_00,47,00000047.jpg,00000047.png,light_color,,,,,47_light_color_00.png,47_light_color_00.png
49_light_color_00,49,00000049.jpg,00000049.png,light_color,,,,,49_light_color_00.png,49_light_color_00.png
52_rare_crop_00,52,00000052.jpg,00000052.png,rare_crop,,,,,52_rare_crop_00.png,52_rare_crop_00.png
52_rare_crop_01,52,00000052.jpg,00000052.png,rare_crop,,,,,52_rare_crop_01.png,52_rare_crop_01.png
52_rare_crop_02,52,00000052.jpg,00000052.png,rare_crop,,,,,52_rare_crop_02.png,52_rare_crop_02.png
53_light_color_00,53,00000053.jpg,00000053.png,light_color,,,,,53_light_color_00.png,53_light_color_00.png
55_light_color_00,55,00000055.jpg,00000055.png,light_color,,,,,55_light_color_00.png,55_light_color_00.png
57_hard_crop_00,57,00000057.jpg,00000057.png,hard_crop,,,,,57_hard_crop_00.png,57_hard_crop_00.png
57_hard_crop_01,57,00000057.jpg,00000057.png,hard_crop,,,,,57_hard_crop_01.png,57_hard_crop_01.png
58_rare_crop_00,58,00000058.jpg,00000058.png,rare_crop,,,,,58_rare_crop_00.png,58_rare_crop_00.png
58_rare_crop_01,58,00000058.jpg,00000058.png,rare_crop,,,,,58_rare_crop_01.png,58_rare_crop_01.png
58_rare_crop_02,58,00000058.jpg,00000058.png,rare_crop,,,,,58_rare_crop_02.png,58_rare_crop_02.png
60_rare_crop_00,60,00000060.jpg,00000060.png,rare_crop,,,,,60_rare_crop_00.png,60_rare_crop_00.png
60_rare_crop_01,60,00000060.jpg,00000060.png,rare_crop,,,,,60_rare_crop_01.png,60_rare_crop_01.png
60_rare_crop_02,60,00000060.jpg,00000060.png,rare_crop,,,,,60_rare_crop_02.png,60_rare_crop_02.png
62_light_color_00,62,00000062.jpg,00000062.png,light_color,,,,,62_light_color_00.png,62_light_color_00.png
63_light_color_00,63,00000063.jpg,00000063.png,light_color,,,,,63_light_color_00.png,63_light_color_00.png
64_rare_crop_00,64,00000064.jpg,00000064.png,rare_crop,,,,,64_rare_crop_00.png,64_rare_crop_00.png
64_rare_crop_01,64,00000064.jpg,00000064.png,rare_crop,,,,,64_rare_crop_01.png,64_rare_crop_01.png
64_rare_crop_02,64,00000064.jpg,00000064.png,rare_crop,,,,,64_rare_crop_02.png,64_rare_crop_02.png
65_light_color_00,65,00000065.jpg,00000065.png,light_color,,,,,65_light_color_00.png,65_light_color_00.png
66_light_color_00,66,00000066.jpg,00000066.png,light_color,,,,,66_light_color_00.png,66_light_color_00.png
67_light_color_00,67,00000067.jpg,00000067.png,light_color,,,,,67_light_color_00.png,67_light_color_00.png
68_hard_crop_00,68,00000068.jpg,00000068.png,hard_crop,,,,,68_hard_crop_00.png,68_hard_crop_00.png
68_hard_crop_01,68,00000068.jpg,00000068.png,hard_crop,,,,,68_hard_crop_01.png,68_hard_crop_01.png
70_light_color_00,70,00000070.jpg,00000070.png,light_color,,,,,70_light_color_00.png,70_light_color_00.png
72_hard_crop_00,72,00000072.jpg,00000072.png,hard_crop,,,,,72_hard_crop_00.png,72_hard_crop_00.png
72_hard_crop_01,72,00000072.jpg,00000072.png,hard_crop,,,,,72_hard_crop_01.png,72_hard_crop_01.png
73_light_color_00,73,00000073.jpg,00000073.png,light_color,,,,,73_light_color_00.png,73_light_color_00.png
74_hard_crop_00,74,00000074.jpg,00000074.png,hard_crop,,,,,74_hard_crop_00.png,74_hard_crop_00.png
74_hard_crop_01,74,00000074.jpg,00000074.png,hard_crop,,,,,74_hard_crop_01.png,74_hard_crop_01.png
75_rare_crop_00,75,00000075.jpg,00000075.png,rare_crop,,,,,75_rare_crop_00.png,75_rare_crop_00.png
75_rare_crop_01,75,00000075.jpg,00000075.png,rare_crop,,,,,75_rare_crop_01.png,75_rare_crop_01.png
75_rare_crop_02,75,00000075.jpg,00000075.png,rare_crop,,,,,75_rare_crop_02.png,75_rare_crop_02.png
76_light_color_00,76,00000076.jpg,00000076.png,light_color,,,,,76_light_color_00.png,76_light_color_00.png
77_hard_crop_00,77,00000077.jpg,00000077.png,hard_crop,,,,,77_hard_crop_00.png,77_hard_crop_00.png
77_hard_crop_01,77,00000077.jpg,00000077.png,hard_crop,,,,,77_hard_crop_01.png,77_hard_crop_01.png
78_rare_crop_00,78,00000078.jpg,00000078.png,rare_crop,,,,,78_rare_crop_00.png,78_rare_crop_00.png
78_rare_crop_01,78,00000078.jpg,00000078.png,rare_crop,,,,,78_rare_crop_01.png,78_rare_crop_01.png
78_rare_crop_02,78,00000078.jpg,00000078.png,rare_crop,,,,,78_rare_crop_02.png,78_rare_crop_02.png
81_hard_crop_00,81,00000081.jpg,00000081.png,hard_crop,,,,,81_hard_crop_00.png,81_hard_crop_00.png
81_hard_crop_01,81,00000081.jpg,00000081.png,hard_crop,,,,,81_hard_crop_01.png,81_hard_crop_01.png
83_light_color_00,83,00000083.jpg,00000083.png,light_color,,,,,83_light_color_00.png,83_light_color_00.png
84_rare_crop_00,84,00000084.jpg,00000084.png,rare_crop,,,,,84_rare_crop_00.png,84_rare_crop_00.png
84_rare_crop_01,84,00000084.jpg,00000084.png,rare_crop,,,,,84_rare_crop_01.png,84_rare_crop_01.png
84_rare_crop_02,84,00000084.jpg,00000084.png,rare_crop,,,,,84_rare_crop_02.png,84_rare_crop_02.png
85_rare_crop_00,85,00000085.jpg,00000085.png,rare_crop,,,,,85_rare_crop_00.png,85_rare_crop_00.png
85_copy_paste_01,85,00000085.jpg,00000085.png,copy_paste,,,,,85_copy_paste_01.png,85_copy_paste_01.png
85_hard_crop_02,85,00000085.jpg,00000085.png,hard_crop,,,,,85_hard_crop_02.png,85_hard_crop_02.png
85_hard_crop_03,85,00000085.jpg,00000085.png,hard_crop,,,,,85_hard_crop_03.png,85_hard_crop_03.png
85_hard_crop_04,85,00000085.jpg,00000085.png,hard_crop,,,,,85_hard_crop_04.png,85_hard_crop_04.png
85_copy_paste_05,85,00000085.jpg,00000085.png,copy_paste,,,,,85_copy_paste_05.png,85_copy_paste_05.png
86_light_color_00,86,00000086.jpg,00000086.png,light_color,,,,,86_light_color_00.png,86_light_color_00.png
87_rare_crop_00,87,00000087.jpg,00000087.png,rare_crop,,,,,87_rare_crop_00.png,87_rare_crop_00.png
87_rare_crop_01,87,00000087.jpg,00000087.png,rare_crop,,,,,87_rare_crop_01.png,87_rare_crop_01.png
87_rare_crop_02,87,00000087.jpg,00000087.png,rare_crop,,,,,87_rare_crop_02.png,87_rare_crop_02.png
92_light_color_00,92,00000092.jpg,00000092.png,light_color,,,,,92_light_color_00.png,92_light_color_00.png
95_light_color_00,95,00000095.jpg,00000095.png,light_color,,,,,95_light_color_00.png,95_light_color_00.png
96_light_color_00,96,00000096.jpg,00000096.png,light_color,,,,,96_light_color_00.png,96_light_color_00.png
97_hard_crop_00,97,00000097.jpg,00000097.png,hard_crop,,,,,97_hard_crop_00.png,97_hard_crop_00.png
97_hard_crop_01,97,00000097.jpg,00000097.png,hard_crop,,,,,97_hard_crop_01.png,97_hard_crop_01.png
99_light_color_00,99,00000099.jpg,00000099.png,light_color,,,,,99_light_color_00.png,99_light_color_00.png
101_light_color_00,101,00000101.jpg,00000101.png,light_color,,,,,101_light_color_00.png,101_light_color_00.png
102_hard_crop_00,102,00000102.jpg,00000102.png,hard_crop,,,,,102_hard_crop_00.png,102_hard_crop_00.png
102_hard_crop_01,102,00000102.jpg,00000102.png,hard_crop,,,,,102_hard_crop_01.png,102_hard_crop_01.png
104_light_color_00,104,00000104.jpg,00000104.png,light_color,,,,,104_light_color_00.png,104_light_color_00.png
105_light_color_00,105,00000105.jpg,00000105.png,light_color,,,,,105_light_color_00.png,105_light_color_00.png
106_rare_crop_00,106,00000106.jpg,00000106.png,rare_crop,,,,,106_rare_crop_00.png,106_rare_crop_00.png
106_rare_crop_01,106,00000106.jpg,00000106.png,rare_crop,,,,,106_rare_crop_01.png,106_rare_crop_01.png
106_rare_crop_02,106,00000106.jpg,00000106.png,rare_crop,,,,,106_rare_crop_02.png,106_rare_crop_02.png
107_hard_crop_00,107,00000107.jpg,00000107.png,hard_crop,,,,,107_hard_crop_00.png,107_hard_crop_00.png
107_hard_crop_01,107,00000107.jpg,00000107.png,hard_crop,,,,,107_hard_crop_01.png,107_hard_crop_01.png
108_light_color_00,108,00000108.jpg,00000108.png,light_color,,,,,108_light_color_00.png,108_light_color_00.png
109_light_color_00,109,00000109.jpg,00000109.png,light_color,,,,,109_light_color_00.png,109_light_color_00.png
110_hard_crop_00,110,00000110.jpg,00000110.png,hard_crop,,,,,110_hard_crop_00.png,110_hard_crop_00.png
110_hard_crop_01,110,00000110.jpg,00000110.png,hard_crop,,,,,110_hard_crop_01.png,110_hard_crop_01.png
111_light_color_00,111,00000111.jpg,00000111.png,light_color,,,,,111_light_color_00.png,111_light_color_00.png
112_light_color_00,112,00000112.jpg,00000112.png,light_color,,,,,112_light_color_00.png,112_light_color_00.png
113_light_color_00,113,00000113.jpg,00000113.png,light_color,,,,,113_light_color_00.png,113_light_color_00.png
119_light_color_00,119,00000119.jpg,00000119.png,light_color,,,,,119_light_color_00.png,119_light_color_00.png
121_rare_crop_00,121,00000121.jpg,00000121.png,rare_crop,,,,,121_rare_crop_00.png,121_rare_crop_00.png
121_rare_crop_01,121,00000121.jpg,00000121.png,rare_crop,,,,,121_rare_crop_01.png,121_rare_crop_01.png
121_rare_crop_02,121,00000121.jpg,00000121.png,rare_crop,,,,,121_rare_crop_02.png,121_rare_crop_02.png
122_light_color_00,122,00000122.jpg,00000122.png,light_color,,,,,122_light_color_00.png,122_light_color_00.png
125_rare_crop_00,125,00000125.jpg,00000125.png,rare_crop,,,,,125_rare_crop_00.png,125_rare_crop_00.png
125_rare_crop_01,125,00000125.jpg,00000125.png,rare_crop,,,,,125_rare_crop_01.png,125_rare_crop_01.png
125_rare_crop_02,125,00000125.jpg,00000125.png,rare_crop,,,,,125_rare_crop_02.png,125_rare_crop_02.png
127_light_color_00,127,00000127.jpg,00000127.png,light_color,,,,,127_light_color_00.png,127_light_color_00.png
129_light_color_00,129,00000129.jpg,00000129.png,light_color,,,,,129_light_color_00.png,129_light_color_00.png
130_hard_crop_00,130,00000130.jpg,00000130.png,hard_crop,,,,,130_hard_crop_00.png,130_hard_crop_00.png
130_hard_crop_01,130,00000130.jpg,00000130.png,hard_crop,,,,,130_hard_crop_01.png,130_hard_crop_01.png
131_light_color_00,131,00000131.jpg,00000131.png,light_color,,,,,131_light_color_00.png,131_light_color_00.png
132_rare_crop_00,132,00000132.jpg,00000132.png,rare_crop,,,,,132_rare_crop_00.png,132_rare_crop_00.png
132_rare_crop_01,132,00000132.jpg,00000132.png,rare_crop,,,,,132_rare_crop_01.png,132_rare_crop_01.png
132_rare_crop_02,132,00000132.jpg,00000132.png,rare_crop,,,,,132_rare_crop_02.png,132_rare_crop_02.png
134_hard_crop_00,134,00000134.jpg,00000134.png,hard_crop,,,,,134_hard_crop_00.png,134_hard_crop_00.png
134_hard_crop_01,134,00000134.jpg,00000134.png,hard_crop,,,,,134_hard_crop_01.png,134_hard_crop_01.png
135_light_color_00,135,00000135.jpg,00000135.png,light_color,,,,,135_light_color_00.png,135_light_color_00.png
136_light_color_00,136,00000136.jpg,00000136.png,light_color,,,,,136_light_color_00.png,136_light_color_00.png
138_rare_crop_00,138,00000138.jpg,00000138.png,rare_crop,,,,,138_rare_crop_00.png,138_rare_crop_00.png
138_rare_crop_01,138,00000138.jpg,00000138.png,rare_crop,,,,,138_rare_crop_01.png,138_rare_crop_01.png
138_rare_crop_02,138,00000138.jpg,00000138.png,rare_crop,,,,,138_rare_crop_02.png,138_rare_crop_02.png
141_light_color_00,141,00000141.jpg,00000141.png,light_color,,,,,141_light_color_00.png,141_light_color_00.png
145_rare_crop_00,145,00000145.jpg,00000145.png,rare_crop,,,,,145_rare_crop_00.png,145_rare_crop_00.png
145_rare_crop_01,145,00000145.jpg,00000145.png,rare_crop,,,,,145_rare_crop_01.png,145_rare_crop_01.png
145_rare_crop_02,145,00000145.jpg,00000145.png,rare_crop,,,,,145_rare_crop_02.png,145_rare_crop_02.png
146_light_color_00,146,00000146.jpg,00000146.png,light_color,,,,,146_light_color_00.png,146_light_color_00.png
148_light_color_00,148,00000148.jpg,00000148.png,light_color,,,,,148_light_color_00.png,148_light_color_00.png
152_rare_crop_00,152,00000152.jpg,00000152.png,rare_crop,,,,,152_rare_crop_00.png,152_rare_crop_00.png
152_rare_crop_01,152,00000152.jpg,00000152.png,rare_crop,,,,,152_rare_crop_01.png,152_rare_crop_01.png
152_rare_crop_02,152,00000152.jpg,00000152.png,rare_crop,,,,,152_rare_crop_02.png,152_rare_crop_02.png
153_light_color_00,153,00000153.jpg,00000153.png,light_color,,,,,153_light_color_00.png,153_light_color_00.png
154_light_color_00,154,00000154.jpg,00000154.png,light_color,,,,,154_light_color_00.png,154_light_color_00.png
155_hard_crop_00,155,00000155.jpg,00000155.png,hard_crop,,,,,155_hard_crop_00.png,155_hard_crop_00.png
155_hard_crop_01,155,00000155.jpg,00000155.png,hard_crop,,,,,155_hard_crop_01.png,155_hard_crop_01.png
157_light_color_00,157,00000157.jpg,00000157.png,light_color,,,,,157_light_color_00.png,157_light_color_00.png
159_hard_crop_00,159,00000159.jpg,00000159.png,hard_crop,,,,,159_hard_crop_00.png,159_hard_crop_00.png
159_hard_crop_01,159,00000159.jpg,00000159.png,hard_crop,,,,,159_hard_crop_01.png,159_hard_crop_01.png
160_rare_crop_00,160,00000160.jpg,00000160.png,rare_crop,,,,,160_rare_crop_00.png,160_rare_crop_00.png
160_rare_crop_01,160,00000160.jpg,00000160.png,rare_crop,,,,,160_rare_crop_01.png,160_rare_crop_01.png
160_rare_crop_02,160,00000160.jpg,00000160.png,rare_crop,,,,,160_rare_crop_02.png,160_rare_crop_02.png
161_light_color_00,161,00000161.jpg,00000161.png,light_color,,,,,161_light_color_00.png,161_light_color_00.png
163_light_color_00,163,00000163.jpg,00000163.png,light_color,,,,,163_light_color_00.png,163_light_color_00.png
164_hard_crop_00,164,00000164.jpg,00000164.png,hard_crop,,,,,164_hard_crop_00.png,164_hard_crop_00.png
164_hard_crop_01,164,00000164.jpg,00000164.png,hard_crop,,,,,164_hard_crop_01.png,164_hard_crop_01.png
165_hard_crop_00,165,00000165.jpg,00000165.png,hard_crop,,,,,165_hard_crop_00.png,165_hard_crop_00.png
165_hard_crop_01,165,00000165.jpg,00000165.png,hard_crop,,,,,165_hard_crop_01.png,165_hard_crop_01.png
166_light_color_00,166,00000166.jpg,00000166.png,light_color,,,,,166_light_color_00.png,166_light_color_00.png
168_hard_crop_00,168,00000168.jpg,00000168.png,hard_crop,,,,,168_hard_crop_00.png,168_hard_crop_00.png
168_hard_crop_01,168,00000168.jpg,00000168.png,hard_crop,,,,,168_hard_crop_01.png,168_hard_crop_01.png
169_light_color_00,169,00000169.jpg,00000169.png,light_color,,,,,169_light_color_00.png,169_light_color_00.png
170_light_color_00,170,00000170.jpg,00000170.png,light_color,,,,,170_light_color_00.png,170_light_color_00.png
171_rare_crop_00,171,00000171.jpg,00000171.png,rare_crop,,,,,171_rare_crop_00.png,171_rare_crop_00.png
171_rare_crop_01,171,00000171.jpg,00000171.png,rare_crop,,,,,171_rare_crop_01.png,171_rare_crop_01.png
171_rare_crop_02,171,00000171.jpg,00000171.png,rare_crop,,,,,171_rare_crop_02.png,171_rare_crop_02.png
172_light_color_00,172,00000172.jpg,00000172.png,light_color,,,,,172_light_color_00.png,172_light_color_00.png
174_rare_crop_00,174,00000174.jpg,00000174.png,rare_crop,,,,,174_rare_crop_00.png,174_rare_crop_00.png
174_rare_crop_01,174,00000174.jpg,00000174.png,rare_crop,,,,,174_rare_crop_01.png,174_rare_crop_01.png
174_rare_crop_02,174,00000174.jpg,00000174.png,rare_crop,,,,,174_rare_crop_02.png,174_rare_crop_02.png
175_hard_crop_00,175,00000175.jpg,00000175.png,hard_crop,,,,,175_hard_crop_00.png,175_hard_crop_00.png
175_hard_crop_01,175,00000175.jpg,00000175.png,hard_crop,,,,,175_hard_crop_01.png,175_hard_crop_01.png
176_hard_crop_00,176,00000176.jpg,00000176.png,hard_crop,,,,,176_hard_crop_00.png,176_hard_crop_00.png
176_hard_crop_01,176,00000176.jpg,00000176.png,hard_crop,,,,,176_hard_crop_01.png,176_hard_crop_01.png
177_light_color_00,177,00000177.jpg,00000177.png,light_color,,,,,177_light_color_00.png,177_light_color_00.png
178_hard_crop_00,178,00000178.jpg,00000178.png,hard_crop,,,,,178_hard_crop_00.png,178_hard_crop_00.png
178_hard_crop_01,178,00000178.jpg,00000178.png,hard_crop,,,,,178_hard_crop_01.png,178_hard_crop_01.png
