stem,split,image_path,mask_path,height,width,fg_ratio,num_present_classes,num_connected_components,present_classes,present_class_names,present_class_groups,has_tail,has_extreme_tail,rare_score,hard_score_gt,difficulty_level,stage1_weight,stage2_weight,aug_policy
00000000,train,F:\ANHTHU\1-HCMUS\1 - STUDY\HKVIII\CV\PROJECT\WORKING\source\0-src\datasets\foodseg103-full\train\img\00000000.jpg,F:\ANHTHU\1-HCMUS\1 - STUDY\HKVIII\CV\PROJECT\WORKING\source\0-src\datasets\foodseg103-full\train\mask\00000000.png,384,512,0.7596,4,1,"[21, 80, 88, 103]","['chicken duck', 'rice', 'snow peas', 'background']","['head', 'medium', 'tail', 'background']",True,False,0.2636,2.4307999999999996,medium,2.2636000000000003,2.5272,rare_crop
00000001,train,F:\ANHTHU\1-HCMUS\1 - STUDY\HKVIII\CV\PROJECT\WORKING\source\0-src\datasets\foodseg103-full\train\img\00000001.jpg,F:\ANHTHU\1-HCMUS\1 - STUDY\HKVIII\CV\PROJECT\WORKING\source\0-src\datasets\foodseg103-full\train\mask\00000001.png,384,512,0.4617,5,1,"[27, 60, 74, 82, 103]","['cucumber', 'onion', 'potato', 'sauce', 'background']","['medium', 'medium', 'head', 'head', 'background']",False,False,0.1883,2.4766,medium,2.1883,2.3766,light
00000002,train,F:\ANHTHU\1-HCMUS\1 - STUDY\HKVIII\CV\PROJECT\WORKING\source\0-src\datasets\foodseg103-full\train\img\00000002.jpg,F:\ANHTHU\1-HCMUS\1 - STUDY\HKVIII\CV\PROJECT\WORKING\source\0-src\datasets\foodseg103-full\train\mask\00000002.png,384,512,0.3346,3,1,"[10, 69, 103]","['bread', 'pie', 'background']","['head', 'medium', 'background']",False,False,0.0893,2.2308,easy,2.5892999999999997,1.5786000000000002,none
00000003,train,F:\ANHTHU\1-HCMUS\1 - STUDY\HKVIII\CV\PROJECT\WORKING\source\0-src\datasets\foodseg103-full\train\img\00000003.jpg,F:\ANHTHU\1-HCMUS\1 - STUDY\HKVIII\CV\PROJECT\WORKING\source\0-src\datasets\foodseg103-full\train\mask\00000003.png,384,512,0.7269,5,1,"[3, 11, 15, 21, 103]","['asparagus', 'broccoli', 'carrot', 'chicken duck', 'background']","['medium', 'head', 'head', 'head', 'background']",False,False,0.1931,1.9462000000000002,easy,2.6931000000000003,1.7862,none
00000004,train,F:\ANHTHU\1-HCMUS\1 - STUDY\HKVIII\CV\PROJECT\WORKING\source\0-src\datasets\foodseg103-full\train\img\00000004.jpg,F:\ANHTHU\1-HCMUS\1 - STUDY\HKVIII\CV\PROJECT\WORKING\source\0-src\datasets\foodseg103-full\train\mask\00000004.png,384,512,0.402,6,1,"[11, 15, 36, 92, 99, 103]","['broccoli', 'carrot', 'french beans', 'steak', 'white button mushroom', 'background']","['head', 'head', 'medium', 'head', 'medium', 'background']",False,False,0.2946,2.846,medium,2.2946,2.5892,light
00000005,train,F:\ANHTHU\1-HCMUS\1 - STUDY\HKVIII\CV\PROJECT\WORKING\source\0-src\datasets\foodseg103-full\train\img\00000005.jpg,F:\ANHTHU\1-HCMUS\1 - STUDY\HKVIII\CV\PROJECT\WORKING\source\0-src\datasets\foodseg103-full\train\mask\00000005.png,384,512,0.6669,4,1,"[21, 23, 96, 103]","['chicken duck', 'cilantro mint', 'tomato', 'background']","['head', 'head', 'head', 'background']",False,False,0.1198,1.8161999999999998,easy,2.6197999999999997,1.6396000000000002,none
00000006,train,F:\ANHTHU\1-HCMUS\1 - STUDY\HKVIII\CV\PROJECT\WORKING\source\0-src\datasets\foodseg103-full\train\img\00000006.jpg,F:\ANHTHU\1-HCMUS\1 - STUDY\HKVIII\CV\PROJECT\WORKING\source\0-src\datasets\foodseg103-full\train\mask\00000006.png,384,512,0.7693,6,1,"[15, 25, 74, 82, 83, 103]","['carrot', 'corn', 'potato', 'sauce', 'sausage', 'background']","['head', 'medium', 'head', 'head', 'medium', 'background']",False,False,0.2492,2.1114,easy,2.7492,1.8984,none
00000007,train,F:\ANHTHU\1-HCMUS\1 - STUDY\HKVIII\CV\PROJECT\WORKING\source\0-src\datasets\foodseg103-full\train\img\00000007.jpg,F:\ANHTHU\1-HCMUS\1 - STUDY\HKVIII\CV\PROJECT\WORKING\source\0-src\datasets\foodseg103-full\train\mask\00000007.png,2048,1536,0.4997,4,1,"[74, 80, 83, 103]","['potato', 'rice', 'sausage', 'background']","['head', 'medium', 'medium', 'background']",False,False,0.1688,2.1506,easy,2.6688,1.7376,none
00000008,train,F:\ANHTHU\1-HCMUS\1 - STUDY\HKVIII\CV\PROJECT\WORKING\source\0-src\datasets\foodseg103-full\train\img\00000008.jpg,F:\ANHTHU\1-HCMUS\1 - STUDY\HKVIII\CV\PROJECT\WORKING\source\0-src\datasets\foodseg103-full\train\mask\00000008.png,392,512,0.5046,5,1,"[10, 19, 30, 93, 103]","['bread', 'cheese butter', 'egg', 'strawberry', 'background']","['head', 'medium', 'medium', 'medium', 'background']",False,False,0.2299,2.3907999999999996,medium,2.2298999999999998,2.4598,light
00000009,train,F:\ANHTHU\1-HCMUS\1 - STUDY\HKVIII\CV\PROJECT\WORKING\source\0-src\datasets\foodseg103-full\train\img\00000009.jpg,F:\ANHTHU\1-HCMUS\1 - STUDY\HKVIII\CV\PROJECT\WORKING\source\0-src\datasets\foodseg103-full\train\mask\00000009.png,384,512,0.387,4,1,"[15, 42, 73, 103]","['carrot', 'green beans', 'pork', 'background']","['head', 'medium', 'medium', 'background']",False,False,0.1749,2.376,medium,2.1749,2.3498,light
