sample_id,image_path,mask_path,source_type,base_stem,sampling_weight
0,00000000.jpg,00000000.png,original,0,2.5272
1,00000001.jpg,00000001.png,original,1,2.3766
2,00000002.jpg,00000002.png,original,2,1.5786000000000002
3,00000003.jpg,00000003.png,original,3,1.7862
4,00000004.jpg,00000004.png,original,4,2.5892
5,00000005.jpg,00000005.png,original,5,1.6396000000000002
6,00000006.jpg,00000006.png,original,6,1.8984
7,00000007.jpg,00000007.png,original,7,1.7376
8,00000008.jpg,00000008.png,original,8,2.4598
9,00000009.jpg,00000009.png,original,9,2.3498
10,00000010.jpg,00000010.png,original,10,1.7014
11,00000011.jpg,00000011.png,original,11,1.6549999999999998
12,00000012.jpg,00000012.png,original,12,1.5648
13,00000013.jpg,00000013.png,original,13,1.8066
14,00000014.jpg,00000014.png,original,14,3.4394
15,00000015.jpg,00000015.png,original,15,2.4242
16,00000016.jpg,00000016.png,original,16,1.758
17,00000017.jpg,00000017.png,original,17,2.3552
18,00000018.jpg,00000018.png,original,18,3.9524
19,00000019.jpg,00000019.png,original,19,3.7698
20,00000020.jpg,00000020.png,original,20,4.0042
21,00000021.jpg,00000021.png,original,21,1.582
22,00000022.jpg,00000022.png,original,22,2.8158
23,00000023.jpg,00000023.png,original,23,1.7275999999999998
24,00000024.jpg,00000024.png,original,24,2.523
25,00000025.jpg,00000025.png,original,25,2.375
26,00000026.jpg,00000026.png,original,26,1.6164
27,00000027.jpg,00000027.png,original,27,1.7113999999999998
28,00000028.jpg,00000028.png,original,28,1.8622
29,00000029.jpg,00000029.png,original,29,2.3756
30,00000030.jpg,00000030.png,original,30,2.5422
31,00000031.jpg,00000031.png,original,31,1.8576
32,00000032.jpg,00000032.png,original,32,2.3426
33,00000033.jpg,00000033.png,original,33,3.652
34,00000034.jpg,00000034.png,original,34,2.399
35,00000035.jpg,00000035.png,original,35,3.4488
36,00000036.jpg,00000036.png,original,36,1.8294
37,00000037.jpg,00000037.png,original,37,1.5486
38,00000038.jpg,00000038.png,original,38,3.7054
39,00000039.jpg,00000039.png,original,39,1.6344
40,00000040.jpg,00000040.png,original,40,2.2262
41,00000041.jpg,00000041.png,original,41,2.4024
42,00000042.jpg,00000042.png,original,42,1.7338
43,00000043.jpg,00000043.png,original,43,1.6511999999999998
44,00000044.jpg,00000044.png,original,44,4.0324
45,00000045.jpg,00000045.png,original,45,3.4488
46,00000046.jpg,00000046.png,original,46,2.7226
47,00000047.jpg,00000047.png,original,47,2.3158000000000003
49,00000049.jpg,00000049.png,original,49,2.5676
50,00000050.jpg,00000050.png,original,50,1.6828
51,00000051.jpg,00000051.png,original,51,1.7496
52,00000052.jpg,00000052.png,original,52,3.6238
53,00000053.jpg,00000053.png,original,53,2.4130000000000003
54,00000054.jpg,00000054.png,original,54,1.7248
55,00000055.jpg,00000055.png,original,55,2.1774
56,00000056.jpg,00000056.png,original,56,1.6307999999999998
57,00000057.jpg,00000057.png,original,57,3.4292
58,00000058.jpg,00000058.png,original,58,3.5824
59,00000059.jpg,00000059.png,original,59,1.6316000000000002
60,00000060.jpg,00000060.png,original,60,3.626
61,00000061.jpg,00000061.png,original,61,1.5878
62,00000062.jpg,00000062.png,original,62,2.1432
63,00000063.jpg,00000063.png,original,63,2.4604
64,00000064.jpg,00000064.png,original,64,3.5458
65,00000065.jpg,00000065.png,original,65,2.3164
66,00000066.jpg,00000066.png,original,66,2.8216
67,00000067.jpg,00000067.png,original,67,2.8476
68,00000068.jpg,00000068.png,original,68,3.6808
69,00000069.jpg,00000069.png,original,69,1.5774
70,00000070.jpg,00000070.png,original,70,2.5362
71,00000071.jpg,00000071.png,original,71,2.0022
72,00000072.jpg,00000072.png,original,72,3.8154
73,00000073.jpg,00000073.png,original,73,2.2436
74,00000074.jpg,00000074.png,original,74,3.6644
75,00000075.jpg,00000075.png,original,75,3.5986
76,00000076.jpg,00000076.png,original,76,2.3848000000000003
77,00000077.jpg,00000077.png,original,77,3.6008
78,00000078.jpg,00000078.png,original,78,4.0622
79,00000079.jpg,00000079.png,original,79,1.5774
80,00000080.jpg,00000080.png,original,80,1.8738
81,00000081.jpg,00000081.png,original,81,3.1862
82,00000082.jpg,00000082.png,original,82,1.7906
83,00000083.jpg,00000083.png,original,83,2.5958
84,00000084.jpg,00000084.png,original,84,3.8124
85,00000085.jpg,00000085.png,original,85,6.3392
86,00000086.jpg,00000086.png,original,86,2.7216
87,00000087.jpg,00000087.png,original,87,3.7656
88,00000088.jpg,00000088.png,original,88,1.5956
89,00000089.jpg,00000089.png,original,89,1.7772
90,00000090.jpg,00000090.png,original,90,1.7273999999999998
91,00000091.jpg,00000091.png,original,91,1.6586
92,00000092.jpg,00000092.png,original,92,2.2456
93,00000093.jpg,00000093.png,original,93,1.7218
94,00000094.jpg,00000094.png,original,94,1.8968
95,00000095.jpg,00000095.png,original,95,2.5814
96,00000096.jpg,00000096.png,original,96,2.3148
97,00000097.jpg,00000097.png,original,97,3.1986
98,00000098.jpg,00000098.png,original,98,1.8202
99,00000099.jpg,00000099.png,original,99,2.4448
100,00000100.jpg,00000100.png,original,100,1.864
101,00000101.jpg,00000101.png,original,101,2.3998
102,00000102.jpg,00000102.png,original,102,3.4958
103,00000103.jpg,00000103.png,original,103,1.7408
104,00000104.jpg,00000104.png,original,104,2.648
105,00000105.jpg,00000105.png,original,105,2.382
106,00000106.jpg,00000106.png,original,106,3.7956
107,00000107.jpg,00000107.png,original,107,3.3392
108,00000108.jpg,00000108.png,original,108,2.3152
109,00000109.jpg,00000109.png,original,109,2.2408
110,00000110.jpg,00000110.png,original,110,3.5298
111,00000111.jpg,00000111.png,original,111,2.2222
112,00000112.jpg,00000112.png,original,112,2.4362
113,00000113.jpg,00000113.png,original,113,2.5654
114,00000114.jpg,00000114.png,original,114,1.7395999999999998
115,00000115.jpg,00000115.png,original,115,1.8198
116,00000116.jpg,00000116.png,original,116,1.6182
117,00000117.jpg,00000117.png,original,117,1.6464
118,00000118.jpg,00000118.png,original,118,1.6964
119,00000119.jpg,00000119.png,original,119,2.3678
120,00000120.jpg,00000120.png,original,120,1.7892
121,00000121.jpg,00000121.png,original,121,2.8092
122,00000122.jpg,00000122.png,original,122,2.3212
123,00000123.jpg,00000123.png,original,123,1.5774
124,00000124.jpg,00000124.png,original,124,1.6310000000000002
125,00000125.jpg,00000125.png,original,125,4.2256
126,00000126.jpg,00000126.png,original,126,1.6372
127,00000127.jpg,00000127.png,original,127,2.4074
128,00000128.jpg,00000128.png,original,128,1.9358
129,00000129.jpg,00000129.png,original,129,2.2328
130,00000130.jpg,00000130.png,original,130,3.2144
131,00000131.jpg,00000131.png,original,131,2.31
132,00000132.jpg,00000132.png,original,132,3.791
133,00000133.jpg,00000133.png,original,133,1.7108
134,00000134.jpg,00000134.png,original,134,3.329
135,00000135.jpg,00000135.png,original,135,2.3078000000000003
136,00000136.jpg,00000136.png,original,136,2.4948
137,00000137.jpg,00000137.png,original,137,1.6372
138,00000138.jpg,00000138.png,original,138,3.7174
139,00000139.jpg,00000139.png,original,139,1.766
140,00000140.jpg,00000140.png,original,140,1.7106
141,00000141.jpg,00000141.png,original,141,2.297
142,00000142.jpg,00000142.png,original,142,1.6236000000000002
143,00000143.jpg,00000143.png,original,143,1.7224
144,00000144.jpg,00000144.png,original,144,1.6698
145,00000145.jpg,00000145.png,original,145,4.507
146,00000146.jpg,00000146.png,original,146,2.241
147,00000147.jpg,00000147.png,original,147,1.6427999999999998
148,00000148.jpg,00000148.png,original,148,2.5226
149,00000149.jpg,00000149.png,original,149,1.6698
150,00000150.jpg,00000150.png,original,150,1.6126
151,00000151.jpg,00000151.png,original,151,1.7988
152,00000152.jpg,00000152.png,original,152,2.4530000000000003
153,00000153.jpg,00000153.png,original,153,2.3004
154,00000154.jpg,00000154.png,original,154,2.4692
155,00000155.jpg,00000155.png,original,155,3.9808
156,00000156.jpg,00000156.png,original,156,1.9736
