source_class_id,source_class_name,target_context_class_id,target_context_class_name,compatibility_score,compatibility_level
0,almond,1,apple,0.11111,high
0,almond,2,apricot,0.0,low
0,almond,3,asparagus,0.0,low
0,almond,4,avocado,0.0,low
0,almond,5,bamboo shoots,0.0,low
0,almond,6,banana,0.0,low
0,almond,7,bean sprouts,0.0,low
0,almond,8,biscuit,0.0,low
0,almond,9,blueberry,0.05556,high
0,almond,10,bread,0.16667,high
0,almond,11,broccoli,0.05556,high
0,almond,12,cabbage,0.0,low
0,almond,13,cake,0.16667,high
0,almond,14,candy,0.0,low
0,almond,15,carrot,0.11111,high
0,almond,16,cashew,0.0,low
0,almond,17,cauliflower,0.0,low
0,almond,18,celery stick,0.0,low
0,almond,19,cheese butter,0.0,low
0,almond,20,cherry,0.16667,high
0,almond,21,chicken duck,0.11111,high
0,almond,22,chocolate,0.0,low
0,almond,23,cilantro mint,0.27778,high
0,almond,24,coffee,0.16667,high
0,almond,25,corn,0.11111,high
0,almond,26,crab,0.0,low
0,almond,27,cucumber,0.05556,high
0,almond,28,date,0.0,low
0,almond,29,dried cranberries,0.05556,high
0,almond,30,egg,0.0,low
0,almond,31,egg tart,0.0,low
0,almond,32,eggplant,0.0,low
0,almond,33,enoki mushroom,0.0,low
0,almond,34,fig,0.05556,high
0,almond,35,fish,0.05556,high
0,almond,36,french beans,0.0,low
0,almond,37,french fries,0.0,low
0,almond,38,fried meat,0.0,low
0,almond,39,garlic,0.05556,high
0,almond,40,ginger,0.0,low
0,almond,41,grape,0.11111,high
0,almond,42,green beans,0.0,low
0,almond,43,hamburg,0.0,low
0,almond,44,hanamaki baozi,0.0,low
0,almond,45,ice cream,0.11111,high
0,almond,46,juice,0.0,low
0,almond,47,kelp,0.0,low
0,almond,48,king oyster mushroom,0.0,low
0,almond,49,kiwi,0.0,low
0,almond,50,lamb,0.05556,high
0,almond,51,lemon,0.16667,high
0,almond,52,lettuce,0.0,low
0,almond,53,mango,0.0,low
0,almond,54,melon,0.0,low
0,almond,55,milk,0.05556,high
0,almond,56,milkshake,0.05556,high
0,almond,57,noodles,0.0,low
0,almond,58,okra,0.0,low
0,almond,59,olives,0.0,low
0,almond,60,onion,0.0,low
0,almond,61,orange,0.05556,high
0,almond,62,other ingredients,0.05556,high
0,almond,63,oyster mushroom,0.0,low
0,almond,64,pasta,0.0,low
0,almond,65,peach,0.0,low
0,almond,66,peanut,0.0,low
0,almond,67,pear,0.0,low
0,almond,68,pepper,0.0,low
0,almond,69,pie,0.0,low
0,almond,70,pineapple,0.0,low
0,almond,71,pizza,0.0,low
0,almond,72,popcorn,0.0,low
0,almond,73,pork,0.11111,high
0,almond,74,potato,0.0,low
0,almond,75,pudding,0.0,low
0,almond,76,pumpkin,0.0,low
0,almond,77,rape,0.0,low
0,almond,78,raspberry,0.0,low
0,almond,79,red beans,0.0,low
0,almond,80,rice,0.11111,high
0,almond,81,salad,0.0,low
0,almond,82,sauce,0.16667,high
0,almond,83,sausage,0.0,low
0,almond,84,seaweed,0.0,low
0,almond,85,shellfish,0.0,low
0,almond,86,shiitake,0.0,low
0,almond,87,shrimp,0.0,low
0,almond,88,snow peas,0.0,low
0,almond,89,soup,0.05556,high
0,almond,90,soy,0.0,low
0,almond,91,spring onion,0.0,low
0,almond,92,steak,0.0,low
0,almond,93,strawberry,0.05556,high
0,almond,94,tea,0.0,low
0,almond,95,tofu,0.05556,high
0,almond,96,tomato,0.11111,high
0,almond,97,walnut,0.05556,high
0,almond,98,watermelon,0.0,low
0,almond,99,white button mushroom,0.0,low
0,almond,100,white radish,0.0,low
0,almond,101,wine,0.0,low
0,almond,102,wonton dumplings,0.0,low
1,apple,0,almond,0.02439,medium
1,apple,2,apricot,0.0,low
1,apple,3,asparagus,0.0,low
1,apple,4,avocado,0.0,low
1,apple,5,bamboo shoots,0.0,low
1,apple,6,banana,0.09756,high
1,apple,7,bean sprouts,0.0,low
1,apple,8,biscuit,0.10976,high
1,apple,9,blueberry,0.0122,medium
1,apple,10,bread,0.26829,high
1,apple,11,broccoli,0.02439,medium
1,apple,12,cabbage,0.0,low
1,apple,13,cake,0.14634,high
1,apple,14,candy,0.0,low
1,apple,15,carrot,0.03659,medium
1,apple,16,cashew,0.0,low
1,apple,17,cauliflower,0.0,low
1,apple,18,celery stick,0.03659,medium
1,apple,19,cheese butter,0.06098,high
1,apple,20,cherry,0.03659,medium
1,apple,21,chicken duck,0.03659,medium
1,apple,22,chocolate,0.0,low
1,apple,23,cilantro mint,0.07317,high
1,apple,24,coffee,0.02439,medium
1,apple,25,corn,0.0122,medium
1,apple,26,crab,0.0,low
1,apple,27,cucumber,0.03659,medium
1,apple,28,date,0.0,low
1,apple,29,dried cranberries,0.0,low
1,apple,30,egg,0.02439,medium
1,apple,31,egg tart,0.0122,medium
1,apple,32,eggplant,0.0,low
1,apple,33,enoki mushroom,0.0,low
1,apple,34,fig,0.0122,medium
1,apple,35,fish,0.0,low
1,apple,36,french beans,0.0,low
1,apple,37,french fries,0.0122,medium
1,apple,38,fried meat,0.0122,medium
1,apple,39,garlic,0.0,low
1,apple,40,ginger,0.0122,medium
1,apple,41,grape,0.14634,high
1,apple,42,green beans,0.0122,medium
1,apple,43,hamburg,0.0,low
1,apple,44,hanamaki baozi,0.0122,medium
1,apple,45,ice cream,0.12195,high
1,apple,46,juice,0.06098,high
1,apple,47,kelp,0.0,low
1,apple,48,king oyster mushroom,0.0,low
1,apple,49,kiwi,0.02439,medium
1,apple,50,lamb,0.0,low
1,apple,51,lemon,0.04878,medium
1,apple,52,lettuce,0.02439,medium
1,apple,53,mango,0.0122,medium
1,apple,54,melon,0.0,low
1,apple,55,milk,0.0,low
1,apple,56,milkshake,0.04878,medium
1,apple,57,noodles,0.0,low
1,apple,58,okra,0.0,low
1,apple,59,olives,0.02439,medium
1,apple,60,onion,0.0122,medium
1,apple,61,orange,0.13415,high
1,apple,62,other ingredients,0.06098,high
1,apple,63,oyster mushroom,0.0,low
1,apple,64,pasta,0.0,low
1,apple,65,peach,0.0122,medium
1,apple,66,peanut,0.0,low
1,apple,67,pear,0.02439,medium
1,apple,68,pepper,0.0,low
1,apple,69,pie,0.10976,high
1,apple,70,pineapple,0.04878,medium
1,apple,71,pizza,0.0122,medium
1,apple,72,popcorn,0.0,low
1,apple,73,pork,0.02439,medium
1,apple,74,potato,0.02439,medium
1,apple,75,pudding,0.0,low
1,apple,76,pumpkin,0.0122,medium
1,apple,77,rape,0.0122,medium
1,apple,78,raspberry,0.0,low
1,apple,79,red beans,0.0122,medium
1,apple,80,rice,0.0,low
1,apple,81,salad,0.0,low
1,apple,82,sauce,0.17073,high
1,apple,83,sausage,0.02439,medium
1,apple,84,seaweed,0.0,low
1,apple,85,shellfish,0.0,low
1,apple,86,shiitake,0.0,low
1,apple,87,shrimp,0.0,low
1,apple,88,snow peas,0.0122,medium
1,apple,89,soup,0.03659,medium
1,apple,90,soy,0.0,low
1,apple,91,spring onion,0.0122,medium
1,apple,92,steak,0.0122,medium
1,apple,93,strawberry,0.12195,high
1,apple,94,tea,0.0,low
1,apple,95,tofu,0.0122,medium
1,apple,96,tomato,0.0122,medium
1,apple,97,walnut,0.02439,medium
1,apple,98,watermelon,0.0,low
1,apple,99,white button mushroom,0.0122,medium
1,apple,100,white radish,0.0,low
1,apple,101,wine,0.02439,medium
1,apple,102,wonton dumplings,0.0,low
2,apricot,0,almond,0.0,low
2,apricot,1,apple,0.0,low
2,apricot,3,asparagus,0.0,low
2,apricot,4,avocado,0.0,low
2,apricot,5,bamboo shoots,0.0,low
2,apricot,6,banana,0.0,low
2,apricot,7,bean sprouts,0.0,low
2,apricot,8,biscuit,0.0,low
2,apricot,9,blueberry,0.0,low
2,apricot,10,bread,0.0,low
2,apricot,11,broccoli,0.0,low
2,apricot,12,cabbage,0.0,low
2,apricot,13,cake,0.0,low
2,apricot,14,candy,0.0,low
2,apricot,15,carrot,0.0,low
2,apricot,16,cashew,0.0,low
2,apricot,17,cauliflower,0.0,low
2,apricot,18,celery stick,0.0,low
2,apricot,19,cheese butter,0.0,low
2,apricot,20,cherry,0.0,low
2,apricot,21,chicken duck,0.0,low
2,apricot,22,chocolate,0.0,low
2,apricot,23,cilantro mint,0.0,low
2,apricot,24,coffee,0.0,low
2,apricot,25,corn,0.0,low
2,apricot,26,crab,0.0,low
2,apricot,27,cucumber,0.0,low
2,apricot,28,date,0.0,low
2,apricot,29,dried cranberries,0.0,low
2,apricot,30,egg,0.5,high
2,apricot,31,egg tart,0.0,low
2,apricot,32,eggplant,0.0,low
2,apricot,33,enoki mushroom,0.0,low
2,apricot,34,fig,0.0,low
2,apricot,35,fish,0.0,low
2,apricot,36,french beans,0.0,low
2,apricot,37,french fries,0.0,low
2,apricot,38,fried meat,0.0,low
2,apricot,39,garlic,0.0,low
2,apricot,40,ginger,0.0,low
2,apricot,41,grape,0.0,low
2,apricot,42,green beans,0.0,low
2,apricot,43,hamburg,0.0,low
2,apricot,44,hanamaki baozi,0.0,low
2,apricot,45,ice cream,0.5,high
2,apricot,46,juice,0.5,high
2,apricot,47,kelp,0.0,low
2,apricot,48,king oyster mushroom,0.0,low
2,apricot,49,kiwi,0.0,low
2,apricot,50,lamb,0.0,low
2,apricot,51,lemon,0.0,low
2,apricot,52,lettuce,0.0,low
2,apricot,53,mango,0.0,low
2,apricot,54,melon,0.0,low
2,apricot,55,milk,0.0,low
2,apricot,56,milkshake,0.0,low
2,apricot,57,noodles,0.0,low
2,apricot,58,okra,0.0,low
2,apricot,59,olives,0.0,low
2,apricot,60,onion,0.0,low
2,apricot,61,orange,0.0,low
2,apricot,62,other ingredients,0.0,low
2,apricot,63,oyster mushroom,0.0,low
2,apricot,64,pasta,0.0,low
2,apricot,65,peach,0.0,low
2,apricot,66,peanut,0.0,low
2,apricot,67,pear,0.0,low
2,apricot,68,pepper,0.0,low
2,apricot,69,pie,0.0,low
2,apricot,70,pineapple,0.0,low
2,apricot,71,pizza,0.0,low
2,apricot,72,popcorn,0.0,low
2,apricot,73,pork,0.0,low
2,apricot,74,potato,0.0,low
2,apricot,75,pudding,0.0,low
2,apricot,76,pumpkin,0.0,low
2,apricot,77,rape,0.0,low
2,apricot,78,raspberry,0.0,low
2,apricot,79,red beans,0.0,low
2,apricot,80,rice,0.0,low
2,apricot,81,salad,0.0,low
2,apricot,82,sauce,0.0,low
2,apricot,83,sausage,0.0,low
2,apricot,84,seaweed,0.0,low
2,apricot,85,shellfish,0.0,low
2,apricot,86,shiitake,0.0,low
2,apricot,87,shrimp,0.0,low
2,apricot,88,snow peas,0.0,low
2,apricot,89,soup,0.0,low
2,apricot,90,soy,0.0,low
2,apricot,91,spring onion,0.0,low
2,apricot,92,steak,0.0,low
2,apricot,93,strawberry,0.0,low
2,apricot,94,tea,0.0,low
2,apricot,95,tofu,0.0,low
2,apricot,96,tomato,0.0,low
2,apricot,97,walnut,0.0,low
2,apricot,98,watermelon,0.0,low
2,apricot,99,white button mushroom,0.0,low
2,apricot,100,white radish,0.0,low
2,apricot,101,wine,0.0,low
2,apricot,102,wonton dumplings,0.0,low
3,asparagus,0,almond,0.0,low
3,asparagus,1,apple,0.0,low
3,asparagus,2,apricot,0.0,low
3,asparagus,4,avocado,0.0,low
3,asparagus,5,bamboo shoots,0.0,low
3,asparagus,6,banana,0.0,low
3,asparagus,7,bean sprouts,0.0,low
3,asparagus,8,biscuit,0.00641,medium
3,asparagus,9,blueberry,0.00641,medium
3,asparagus,10,bread,0.08333,high
3,asparagus,11,broccoli,0.12179,high
3,asparagus,12,cabbage,0.0,low
3,asparagus,13,cake,0.01282,medium
3,asparagus,14,candy,0.0,low
3,asparagus,15,carrot,0.30769,high
3,asparagus,16,cashew,0.00641,medium
3,asparagus,17,cauliflower,0.01923,medium
3,asparagus,18,celery stick,0.01282,medium
3,asparagus,19,cheese butter,0.0641,high
3,asparagus,20,cherry,0.0,low
3,asparagus,21,chicken duck,0.14744,high
3,asparagus,22,chocolate,0.0,low
3,asparagus,23,cilantro mint,0.13462,high
3,asparagus,24,coffee,0.0,low
3,asparagus,25,corn,0.05128,high
3,asparagus,26,crab,0.00641,medium
3,asparagus,27,cucumber,0.0641,high
3,asparagus,28,date,0.0,low
3,asparagus,29,dried cranberries,0.0,low
3,asparagus,30,egg,0.01923,medium
3,asparagus,31,egg tart,0.0,low
3,asparagus,32,eggplant,0.00641,medium
3,asparagus,33,enoki mushroom,0.0,low
3,asparagus,34,fig,0.0,low
3,asparagus,35,fish,0.14103,high
3,asparagus,36,french beans,0.02564,medium
3,asparagus,37,french fries,0.00641,medium
3,asparagus,38,fried meat,0.03846,medium
3,asparagus,39,garlic,0.00641,medium
3,asparagus,40,ginger,0.0,low
3,asparagus,41,grape,0.0,low
3,asparagus,42,green beans,0.02564,medium
3,asparagus,43,hamburg,0.0,low
3,asparagus,44,hanamaki baozi,0.0,low
3,asparagus,45,ice cream,0.09615,high
3,asparagus,46,juice,0.01282,medium
3,asparagus,47,kelp,0.0,low
3,asparagus,48,king oyster mushroom,0.0,low
3,asparagus,49,kiwi,0.0,low
3,asparagus,50,lamb,0.0641,high
3,asparagus,51,lemon,0.16667,high
3,asparagus,52,lettuce,0.05128,high
3,asparagus,53,mango,0.0,low
3,asparagus,54,melon,0.0,low
3,asparagus,55,milk,0.0,low
3,asparagus,56,milkshake,0.00641,medium
3,asparagus,57,noodles,0.02564,medium
3,asparagus,58,okra,0.0,low
3,asparagus,59,olives,0.0,low
3,asparagus,60,onion,0.05769,high
3,asparagus,61,orange,0.02564,medium
3,asparagus,62,other ingredients,0.03846,medium
3,asparagus,63,oyster mushroom,0.0,low
3,asparagus,64,pasta,0.01923,medium
3,asparagus,65,peach,0.0,low
3,asparagus,66,peanut,0.0,low
3,asparagus,67,pear,0.0,low
3,asparagus,68,pepper,0.09615,high
3,asparagus,69,pie,0.05769,high
3,asparagus,70,pineapple,0.0,low
3,asparagus,71,pizza,0.01282,medium
3,asparagus,72,popcorn,0.0,low
3,asparagus,73,pork,0.14744,high
3,asparagus,74,potato,0.32051,high
3,asparagus,75,pudding,0.0,low
3,asparagus,76,pumpkin,0.00641,medium
3,asparagus,77,rape,0.01282,medium
3,asparagus,78,raspberry,0.0,low
3,asparagus,79,red beans,0.0,low
3,asparagus,80,rice,0.11538,high
3,asparagus,81,salad,0.0,low
3,asparagus,82,sauce,0.17949,high
3,asparagus,83,sausage,0.01923,medium
3,asparagus,84,seaweed,0.0,low
3,asparagus,85,shellfish,0.0,low
3,asparagus,86,shiitake,0.02564,medium
3,asparagus,87,shrimp,0.03205,medium
3,asparagus,88,snow peas,0.00641,medium
3,asparagus,89,soup,0.01282,medium
3,asparagus,90,soy,0.0,low
3,asparagus,91,spring onion,0.03846,medium
3,asparagus,92,steak,0.19231,high
3,asparagus,93,strawberry,0.00641,medium
3,asparagus,94,tea,0.0,low
3,asparagus,95,tofu,0.00641,medium
3,asparagus,96,tomato,0.17308,high
3,asparagus,97,walnut,0.0,low
3,asparagus,98,watermelon,0.0,low
3,asparagus,99,white button mushroom,0.03846,medium
3,asparagus,100,white radish,0.01923,medium
3,asparagus,101,wine,0.00641,medium
3,asparagus,102,wonton dumplings,0.0,low
4,avocado,0,almond,0.0,low
4,avocado,1,apple,0.0,low
4,avocado,2,apricot,0.0,low
4,avocado,3,asparagus,0.0,low
4,avocado,5,bamboo shoots,0.0,low
4,avocado,6,banana,0.0,low
4,avocado,7,bean sprouts,0.04762,medium
4,avocado,8,biscuit,0.02381,medium
4,avocado,9,blueberry,0.02381,medium
4,avocado,10,bread,0.30952,high
4,avocado,11,broccoli,0.11905,high
4,avocado,12,cabbage,0.02381,medium
4,avocado,13,cake,0.02381,medium
4,avocado,14,candy,0.0,low
4,avocado,15,carrot,0.02381,medium
4,avocado,16,cashew,0.0,low
4,avocado,17,cauliflower,0.0,low
4,avocado,18,celery stick,0.0,low
4,avocado,19,cheese butter,0.16667,high
4,avocado,20,cherry,0.02381,medium
4,avocado,21,chicken duck,0.2381,high
4,avocado,22,chocolate,0.0,low
4,avocado,23,cilantro mint,0.21429,high
4,avocado,24,coffee,0.0,low
4,avocado,25,corn,0.09524,high
4,avocado,26,crab,0.0,low
4,avocado,27,cucumber,0.09524,high
4,avocado,28,date,0.0,low
4,avocado,29,dried cranberries,0.0,low
4,avocado,30,egg,0.16667,high
4,avocado,31,egg tart,0.0,low
4,avocado,32,eggplant,0.0,low
4,avocado,33,enoki mushroom,0.0,low
4,avocado,34,fig,0.0,low
4,avocado,35,fish,0.04762,medium
4,avocado,36,french beans,0.02381,medium
4,avocado,37,french fries,0.02381,medium
4,avocado,38,fried meat,0.07143,high
4,avocado,39,garlic,0.0,low
4,avocado,40,ginger,0.0,low
4,avocado,41,grape,0.0,low
4,avocado,42,green beans,0.0,low
4,avocado,43,hamburg,0.0,low
4,avocado,44,hanamaki baozi,0.0,low
4,avocado,45,ice cream,0.02381,medium
4,avocado,46,juice,0.0,low
4,avocado,47,kelp,0.0,low
4,avocado,48,king oyster mushroom,0.0,low
4,avocado,49,kiwi,0.0,low
4,avocado,50,lamb,0.0,low
4,avocado,51,lemon,0.09524,high
4,avocado,52,lettuce,0.21429,high
4,avocado,53,mango,0.0,low
4,avocado,54,melon,0.0,low
4,avocado,55,milk,0.0,low
4,avocado,56,milkshake,0.0,low
4,avocado,57,noodles,0.0,low
4,avocado,58,okra,0.0,low
4,avocado,59,olives,0.0,low
4,avocado,60,onion,0.09524,high
4,avocado,61,orange,0.02381,medium
4,avocado,62,other ingredients,0.02381,medium
4,avocado,63,oyster mushroom,0.0,low
4,avocado,64,pasta,0.0,low
4,avocado,65,peach,0.0,low
4,avocado,66,peanut,0.0,low
4,avocado,67,pear,0.02381,medium
4,avocado,68,pepper,0.09524,high
4,avocado,69,pie,0.09524,high
4,avocado,70,pineapple,0.02381,medium
4,avocado,71,pizza,0.0,low
4,avocado,72,popcorn,0.0,low
4,avocado,73,pork,0.09524,high
4,avocado,74,potato,0.04762,medium
4,avocado,75,pudding,0.0,low
4,avocado,76,pumpkin,0.02381,medium
4,avocado,77,rape,0.0,low
4,avocado,78,raspberry,0.0,low
4,avocado,79,red beans,0.04762,medium
4,avocado,80,rice,0.11905,high
4,avocado,81,salad,0.0,low
4,avocado,82,sauce,0.21429,high
4,avocado,83,sausage,0.04762,medium
4,avocado,84,seaweed,0.0,low
4,avocado,85,shellfish,0.0,low
4,avocado,86,shiitake,0.0,low
4,avocado,87,shrimp,0.04762,medium
4,avocado,88,snow peas,0.0,low
4,avocado,89,soup,0.0,low
4,avocado,90,soy,0.0,low
4,avocado,91,spring onion,0.04762,medium
4,avocado,92,steak,0.11905,high
4,avocado,93,strawberry,0.04762,medium
4,avocado,94,tea,0.0,low
4,avocado,95,tofu,0.0,low
4,avocado,96,tomato,0.5,high
