aug_id,base_stem,base_image_path,base_mask_path,aug_type,source_patch_id,source_class_id,target_x,target_y,output_image_path,output_mask_path
0_rare_crop_00,0,F:\ANHTHU\1-HCMUS\1 - STUDY\HKVIII\CV\PROJECT\WORKING\source\0-src\datasets\foodseg103-full\train\img\00000000.jpg,F:\ANHTHU\1-HCMUS\1 - STUDY\HKVIII\CV\PROJECT\WORKING\source\0-src\datasets\foodseg103-full\train\mask\00000000.png,rare_crop,,,,,F:\ANHTHU\1-HCMUS\1 - STUDY\HKVIII\CV\PROJECT\WORKING\source\0-src\processed\augmented\img\0_rare_crop_00.png,F:\ANHTHU\1-HCMUS\1 - STUDY\HKVIII\CV\PROJECT\WORKING\source\0-src\processed\augmented\mask\0_rare_crop_00.png
0_rare_crop_01,0,F:\ANHTHU\1-HCMUS\1 - STUDY\HKVIII\CV\PROJECT\WORKING\source\0-src\datasets\foodseg103-full\train\img\00000000.jpg,F:\ANHTHU\1-HCMUS\1 - STUDY\HKVIII\CV\PROJECT\WORKING\source\0-src\datasets\foodseg103-full\train\mask\00000000.png,rare_crop,,,,,F:\ANHTHU\1-HCMUS\1 - STUDY\HKVIII\CV\PROJECT\WORKING\source\0-src\processed\augmented\img\0_rare_crop_01.png,F:\ANHTHU\1-HCMUS\1 - STUDY\HKVIII\CV\PROJECT\WORKING\source\0-src\processed\augmented\mask\0_rare_crop_01.png
0_rare_crop_02,0,F:\ANHTHU\1-HCMUS\1 - STUDY\HKVIII\CV\PROJECT\WORKING\source\0-src\datasets\foodseg103-full\train\img\00000000.jpg,F:\ANHTHU\1-HCMUS\1 - STUDY\HKVIII\CV\PROJECT\WORKING\source\0-src\datasets\foodseg103-full\train\mask\00000000.png,rare_crop,,,,,F:\ANHTHU\1-HCMUS\1 - STUDY\HKVIII\CV\PROJECT\WORKING\source\0-src\processed\augmented\img\0_rare_crop_02.png,F:\ANHTHU\1-HCMUS\1 - STUDY\HKVIII\CV\PROJECT\WORKING\source\0-src\processed\augmented\mask\0_rare_crop_02.png
1_light_color_00,1,F:\ANHTHU\1-HCMUS\1 - STUDY\HKVIII\CV\PROJECT\WORKING\source\0-src\datasets\foodseg103-full\train\img\00000001.jpg,F:\ANHTHU\1-HCMUS\1 - STUDY\HKVIII\CV\PROJECT\WORKING\source\0-src\datasets\foodseg103-full\train\mask\00000001.png,light_color,,,,,F:\ANHTHU\1-HCMUS\1 - STUDY\HKVIII\CV\PROJECT\WORKING\source\0-src\processed\augmented\img\1_light_color_00.png,F:\ANHTHU\1-HCMUS\1 - STUDY\HKVIII\CV\PROJECT\WORKING\source\0-src\processed\augmented\mask\1_light_color_00.png
4_light_color_00,4,F:\ANHTHU\1-HCMUS\1 - STUDY\HKVIII\CV\PROJECT\WORKING\source\0-src\datasets\foodseg103-full\train\img\00000004.jpg,F:\ANHTHU\1-HCMUS\1 - STUDY\HKVIII\CV\PROJECT\WORKING\source\0-src\datasets\foodseg103-full\train\mask\00000004.png,light_color,,,,,F:\ANHTHU\1-HCMUS\1 - STUDY\HKVIII\CV\PROJECT\WORKING\source\0-src\processed\augmented\img\4_light_color_00.png,F:\ANHTHU\1-HCMUS\1 - STUDY\HKVIII\CV\PROJECT\WORKING\source\0-src\processed\augmented\mask\4_light_color_00.png
8_light_color_00,8,F:\ANHTHU\1-HCMUS\1 - STUDY\HKVIII\CV\PROJECT\WORKING\source\0-src\datasets\foodseg103-full\train\img\00000008.jpg,F:\ANHTHU\1-HCMUS\1 - STUDY\HKVIII\CV\PROJECT\WORKING\source\0-src\datasets\foodseg103-full\train\mask\00000008.png,light_color,,,,,F:\ANHTHU\1-HCMUS\1 - STUDY\HKVIII\CV\PROJECT\WORKING\source\0-src\processed\augmented\img\8_light_color_00.png,F:\ANHTHU\1-HCMUS\1 - STUDY\HKVIII\CV\PROJECT\WORKING\source\0-src\processed\augmented\mask\8_light_color_00.png
9_light_color_00,9,F:\ANHTHU\1-HCMUS\1 - STUDY\HKVIII\CV\PROJECT\WORKING\source\0-src\datasets\foodseg103-full\train\img\00000009.jpg,F:\ANHTHU\1-HCMUS\1 - STUDY\HKVIII\CV\PROJECT\WORKING\source\0-src\datasets\foodseg103-full\train\mask\00000009.png,light_color,,,,,F:\ANHTHU\1-HCMUS\1 - STUDY\HKVIII\CV\PROJECT\WORKING\source\0-src\processed\augmented\img\9_light_color_00.png,F:\ANHTHU\1-HCMUS\1 - STUDY\HKVIII\CV\PROJECT\WORKING\source\0-src\processed\augmented\mask\9_light_color_00.png
14_rare_crop_00,14,F:\ANHTHU\1-HCMUS\1 - STUDY\HKVIII\CV\PROJECT\WORKING\source\0-src\datasets\foodseg103-full\train\img\00000014.jpg,F:\ANHTHU\1-HCMUS\1 - STUDY\HKVIII\CV\PROJECT\WORKING\source\0-src\datasets\foodseg103-full\train\mask\00000014.png,rare_crop,,,,,F:\ANHTHU\1-HCMUS\1 - STUDY\HKVIII\CV\PROJECT\WORKING\source\0-src\processed\augmented\img\14_rare_crop_00.png,F:\ANHTHU\1-HCMUS\1 - STUDY\HKVIII\CV\PROJECT\WORKING\source\0-src\processed\augmented\mask\14_rare_crop_00.png
14_rare_crop_01,14,F:\ANHTHU\1-HCMUS\1 - STUDY\HKVIII\CV\PROJECT\WORKING\source\0-src\datasets\foodseg103-full\train\img\00000014.jpg,F:\ANHTHU\1-HCMUS\1 - STUDY\HKVIII\CV\PROJECT\WORKING\source\0-src\datasets\foodseg103-full\train\mask\00000014.png,rare_crop,,,,,F:\ANHTHU\1-HCMUS\1 - STUDY\HKVIII\CV\PROJECT\WORKING\source\0-src\processed\augmented\img\14_rare_crop_01.png,F:\ANHTHU\1-HCMUS\1 - STUDY\HKVIII\CV\PROJECT\WORKING\source\0-src\processed\augmented\mask\14_rare_crop_01.png
14_rare_crop_02,14,F:\ANHTHU\1-HCMUS\1 - STUDY\HKVIII\CV\PROJECT\WORKING\source\0-src\datasets\foodseg103-full\train\img\00000014.jpg,F:\ANHTHU\1-HCMUS\1 - STUDY\HKVIII\CV\PROJECT\WORKING\source\0-src\datasets\foodseg103-full\train\mask\00000014.png,rare_crop,,,,,F:\ANHTHU\1-HCMUS\1 - STUDY\HKVIII\CV\PROJECT\WORKING\source\0-src\processed\augmented\img\14_rare_crop_02.png,F:\ANHTHU\1-HCMUS\1 - STUDY\HKVIII\CV\PROJECT\WORKING\source\0-src\processed\augmented\mask\14_rare_crop_02.png
15_light_color_00,15,F:\ANHTHU\1-HCMUS\1 - STUDY\HKVIII\CV\PROJECT\WORKING\source\0-src\datasets\foodseg103-full\train\img\00000015.jpg,F:\ANHTHU\1-HCMUS\1 - STUDY\HKVIII\CV\PROJECT\WORKING\source\0-src\datasets\foodseg103-full\train\mask\00000015.png,light_color,,,,,F:\ANHTHU\1-HCMUS\1 - STUDY\HKVIII\CV\PROJECT\WORKING\source\0-src\processed\augmented\img\15_light_color_00.png,F:\ANHTHU\1-HCMUS\1 - STUDY\HKVIII\CV\PROJECT\WORKING\source\0-src\processed\augmented\mask\15_light_color_00.png
